,E0010,E0011,E0012,E0013,E0014,E0015,E0016,E0017,E0018,E0019,E0020,E0021,E0022,E0023,E0024,E0025,E0026,E0027,E0028,E0029,E0030,E0031,E0032,E0033,E0034,E0035,E0036,E0037,E0038,E0039,E0040,E0041,E0042,E0043,E0044,E0045,E0046,E0047,E0048,E0049,E0050,E0051,E0052,E0053,E0054,E0055,E0056,E0057,E0058,E0059,E0060,E0061,E0062,E0063,E0064,E0065,E0066,E0067,E0068,E0069,E0070,E0071,E0072,E0073,E0074,E0075,E0076,E0077,E0078,E0079,E0080,E0081,E0082,E0083,E0084,E0085,E0086,E0087,E0088,E0089,E0090,E0091,E0092,E0093,E0094,E0095,E0096,E0097,E0098,E0099,E0100,E0101,E0102,E0103,E0104,E0105,E0106,E0107,E0108,E0109
03-Apr,4386.065949,4353.101237,4370.515011,4334.120894,4473.402243,4353.669039,4391.423804,4379.966965,4361.08348,4374.424213,4355.496078,4341.871378,4518.05773,4416.711043,4388.126541,4449.827954,4408.162121,4326.56623,4401.794045,4405.756514,4340.390457,4371.477994,4392.070503,4336.175887,4331.356663,4411.915174,4334.403049,4375.992851,4402.311088,4351.981336,4373.990325,4362.732069,4332.924194,4361.955494,4350.205942,4413.340976,4367.935887,4343.469868,4345.397393,4405.7121,4369.324683,4366.988308,4348.924084,4404.325485,4396.260724,4414.291929,4342.107396,4389.811408,4343.895666,4380.329125,4357.260197,4374.291722,4364.624477,4379.114745,4366.535287,4356.691636,4353.717481,4411.114596,4381.127281,4367.788141,4328.775291,4369.233471,4364.050869,4390.771834,4370.123585,4344.756343,4346.661816,4371.06433,4383.459804,4392.251914,4375.675471,4417.129705,4375.459629,4347.36324,4329.815941,4376.46226,4356.718991,4331.546445,4347.279375,4374.269033,4383.995861,4344.300706,4338.613926,4396.406053,4344.322969,4366.013594,4386.09136,4357.72933,4328.533199,4364.723568,4381.880034,4352.204864,4399.209988,4328.76367,4389.882079,4419.620922,4330.363388,4400.951665,4351.799014,4411.277175
04-Apr,9975.927478,9934.741427,9948.254114,9912.9889,9956.606003,9884.647351,9867.080638,9948.887688,9883.383986,9952.312691,9953.388477,9899.574128,9935.039995,9926.601008,9944.400345,9884.907799,9934.765627,9907.45896,9952.373807,9886.326744,9891.945281,9935.216498,9910.402442,9882.330174,9929.151563,9925.07448,9911.121494,9871.984809,9945.236128,9920.100415,9920.223271,9897.58127,9931.183365,9936.676832,9872.913528,9960.102313,9912.817061,9907.740042,9921.615055,9943.123524,9865.793783,9884.693796,9932.047984,9876.610808,9925.114068,9927.484518,9892.468334,9940.495194,9907.225307,9924.862473,9909.414892,9895.604895,9890.957679,9938.75556,9944.57047,9902.646428,9989.626364,9939.494227,9923.442721,9909.992179,9936.037705,9894.450136,9957.889371,9882.41362,9947.741024,9912.703767,9883.443274,9913.660472,9991.546895,9873.382576,9911.318121,9868.952977,9985.846283,9956.170813,9984.480978,10058.78321,10049.0223,9958.015503,9869.881213,10008.59202,9925.704351,9866.939251,9884.172944,9910.803983,9912.290735,9904.812595,9910.997827,9903.478931,9950.082888,9896.639605,9899.170884,9880.00463,9895.875772,9873.52155,9936.154857,9893.107273,9871.468561,9960.484457,9922.855705,9900.78961
05-Apr,9835.88637,9854.940618,9850.226851,9853.496362,9804.302708,9810.179866,9855.855271,9829.318683,9846.880136,9846.452155,9789.716719,9924.795179,9781.841527,9822.795006,9767.152719,9826.284439,9809.871098,9791.881098,9809.669283,9793.826992,9857.106896,9862.477416,9855.559949,9805.811166,9853.885441,9832.446104,9827.303781,9795.731244,9813.546909,9792.184606,9961.174415,9807.790583,9776.901237,9810.082594,9769.807416,9842.469043,9825.41005,9856.723698,9791.830542,9833.788175,9863.568349,9829.528906,9769.791619,9818.221549,9813.265442,9810.077362,9864.902425,9811.691019,9862.999432,9787.996402,9870.025783,9809.518966,9783.617481,9816.815408,9836.398334,9807.207525,9962.465608,9809.412371,9852.34512,9831.435619,9848.339311,9819.110517,9805.928112,9773.959637,9804.667499,9864.572741,9854.825656,9853.221233,9821.174273,9853.400947,9824.934879,9791.035597,9862.108555,9790.400142,9821.225279,9820.890045,9912.824196,9770.448092,9832.472541,9928.638157,9821.891048,9866.146438,9852.911991,9795.11207,9771.234671,9811.053216,9770.349122,9823.518928,9795.322075,9849.173361,9770.2934,9847.227187,9780.758203,9810.442659,9798.702133,9892.757779,9774.592177,9791.962673,9857.078615,9784.30562
06-Apr,5964.423395,5933.677623,5943.356403,5906.682537,5951.477566,5921.901261,5890.977063,5936.349324,5878.426981,5927.227123,5925.835586,5951.437743,5953.967323,5895.87751,5950.83369,5949.002264,5913.498823,5906.667853,5897.81667,5871.634182,5917.958616,5886.23771,6045.02302,5870.85868,5901.922332,5942.988951,5914.581058,5887.666185,5953.079836,5951.975078,5945.370048,5951.894303,5964.194518,5927.729466,5868.512534,5885.580896,5936.586022,5876.910917,5957.856412,5952.133858,5954.448765,5876.962072,5917.843069,5918.850858,5940.247947,5954.026634,5927.69081,5883.498169,5921.815066,5866.399834,5917.267425,5913.9801,5894.113342,5905.252747,5915.651405,5876.133846,5901.010468,5972.31757,5946.555149,5919.955989,5886.469089,5868.5207,5889.2585,5957.275256,5909.152661,5915.597331,5896.898966,5869.220027,5868.259,6059.768124,5884.401678,5892.639713,5865.563639,5953.653576,6051.023194,5951.557308,5904.485827,5951.502381,5898.642651,5885.479223,5888.976923,5921.304454,5919.232202,5954.938298,5956.077917,5873.387494,5964.009872,5946.966043,5932.856284,5927.10284,5874.214926,5941.311227,5876.17336,5918.278157,5934.141813,5928.833502,5934.082317,5891.191134,5940.711379,5876.398308
07-Apr,8895.171715,8944.345792,8868.080864,8871.356664,8909.143153,8920.954741,8868.587739,8888.149863,9010.03724,8895.938436,8944.988952,8910.313535,8944.112079,8913.353732,8875.418886,8879.74052,9034.113866,8939.939296,8945.056282,8947.49907,8910.784535,8955.75299,8877.90056,8914.147632,8906.907963,8931.803093,8877.306636,8921.954457,8946.890922,8922.398277,8886.009736,8902.218878,8874.015996,8863.27981,8909.411485,8929.217939,8879.142422,8858.178809,8925.629014,8954.419601,8859.052636,8867.786145,8929.367944,8902.894506,8864.69291,8875.513387,8887.360621,8877.723609,8878.763787,8949.733433,8928.270122,8877.498731,8942.367814,8863.777108,8884.288378,8950.023844,8929.193626,8933.598385,8879.547002,8986.90033,8921.385811,8895.619982,8892.669277,8905.024033,8863.741822,8929.215247,8945.530446,8870.52807,8891.966757,8937.818365,8948.261137,8857.666507,8907.492179,8879.61219,8942.533473,8951.476531,8925.333104,8881.074727,8921.283907,8949.227219,8950.970037,9021.485588,8879.913558,8891.331465,8942.387117,8862.54071,8867.257186,8860.355568,8954.616273,9160.719135,8941.303946,8920.39778,9001.166108,8881.473855,8862.560018,8936.910909,8898.450564,8948.95737,8862.148136,8876.316764
08-Apr,9946.28521,10013.25427,10114.47119,9959.218938,9964.139974,10003.33551,10004.81831,10003.50524,10008.06569,9993.27627,9985.288955,10007.78781,10020.58402,9981.705232,10020.75329,9967.292017,9993.00449,10008.98153,9993.424253,10098.25619,10001.9715,9992.558105,10004.54555,9934.968903,9938.690897,9986.885708,9972.436117,9990.079892,9967.125564,9955.361152,10002.96846,9951.205398,10022.89221,10006.59091,9955.207324,9994.335846,10023.08492,9999.286907,9952.065556,9992.886224,10003.32972,9956.234283,10007.74394,9962.441971,9959.17109,9996.89132,9990.039149,10005.90204,10017.71958,9957.184687,10004.66153,9998.342632,9941.689995,10011.68249,9987.494399,10080.29334,10006.74003,9991.851393,10000.49418,9938.538761,10005.93948,10004.52656,9988.12848,10023.55251,9934.302415,9998.136921,9976.188964,9978.875047,9981.327094,9978.306145,9991.574373,10017.09612,9957.29152,9961.311573,9990.499769,9965.558157,10024.96369,9989.00164,9957.916132,9956.53244,10015.68827,9988.071918,10025.7827,9955.124229,9967.067158,10032.99589,9949.082861,9969.030653,9929.921488,9948.474936,10005.59202,9989.936879,10008.26577,9937.179886,10004.72435,9978.225603,9979.823631,9976.701766,9986.751268,9930.556076
09-Apr,6258.684634,6280.776082,6317.950491,6307.538077,6315.431593,6341.041213,6281.875424,6287.129073,6290.532389,6299.972192,6310.935587,6278.605391,6346.429844,6289.573724,6312.570877,6302.024582,6282.585712,6342.204332,6278.731642,6296.137026,6284.932991,6299.731976,6271.180763,6336.824446,6284.311392,6285.524449,6323.901245,6301.918969,6343.1888,6273.206057,6344.807973,6301.507966,6380.861055,6339.919949,6324.432016,6294.840788,6341.263194,6319.011337,6312.287475,6310.613523,6307.147377,6305.993667,6320.429426,6315.442355,6331.786488,6332.567772,6354.331143,6281.089443,6357.533698,6348.497117,6286.637364,6320.390759,6262.352269,6352.663755,6293.894453,6306.86877,6269.219219,6300.663602,6307.089063,6348.990226,6345.253448,6317.421617,6269.862426,6284.418635,6310.825921,6323.788872,6331.982392,6329.710488,6346.244568,6264.593151,6286.836417,6311.528074,6344.113798,6315.310539,6303.801665,6320.710462,6262.567378,6320.731832,6261.724237,6271.204706,6280.748775,6354.293918,6303.715479,6340.71734,6327.807852,6272.465067,6445.415038,6284.922237,6264.191916,6346.471394,6268.24856,6286.9146,6309.849444,6350.727859,6320.001031,6308.850928,6262.288318,6336.242258,6302.030374,6336.605077
10-Apr,3408.208981,3423.957783,3346.349273,3377.447619,3401.145247,3521.325587,3380.32562,3360.33032,3349.446411,3417.039051,3383.609022,3405.373547,3408.83559,3358.890077,3418.02465,3387.790917,3406.550766,3362.987854,3419.992281,3373.726972,3367.796778,3346.398315,3395.548468,3380.280813,3393.295883,3391.181666,3394.565958,3420.372213,3432.486064,3348.658788,3370.654897,3343.029808,3383.276024,3350.273481,3430.792033,3375.862186,3359.867689,3375.050919,3690.262417,3404.263244,3341.694378,3654.217531,3352.725822,3383.057581,3386.204045,3387.544709,3381.368104,3422.857147,3357.649251,3426.200955,3391.831203,3412.971881,3344.686603,3384.685326,3393.934807,3375.674413,3416.12094,3372.674424,3342.263791,3371.803357,3360.201095,3387.822976,3515.925039,3366.082491,3402.453155,3374.802156,3429.179355,3373.238775,3443.270544,3348.938958,3340.917498,3385.60715,3359.28325,3484.416749,3397.885621,3379.732837,3338.609008,3433.05296,3347.633892,3383.323808,3399.802792,3380.628678,3390.442994,3398.085438,3419.824926,3432.273266,3421.15109,3364.250543,3371.747833,3402.496011,3361.779949,3405.06498,3341.321399,3351.517628,3418.871873,3366.463139,3419.556124,3353.073891,3412.801313,3400.493717
11-Apr,7641.031144,7588.408376,7628.616866,7632.2323,7612.260671,7587.896905,7624.091818,7619.91144,7602.800326,7603.382394,7643.380101,7585.665271,7566.238137,7599.474277,7598.061394,7581.587188,7646.689698,7645.392604,7573.487609,7648.862315,7611.322906,7571.057842,7613.269839,7649.888815,7577.188289,7562.739911,7605.79833,7641.246343,7729.656985,7638.162452,7745.791111,7566.271383,7585.99484,7567.473743,7640.626385,7597.083942,7590.72044,7673.284868,7646.21514,7666.778642,7554.277019,7573.480119,7594.900389,7581.030242,7621.521117,7574.01885,7579.240784,7595.695442,7636.446056,7630.509934,7608.789493,7622.481899,7599.108701,7560.991595,7621.240171,7613.073169,7607.67218,7614.117919,7572.048584,7603.021788,7638.123278,7555.043309,7604.259854,7620.355717,7571.989346,7582.138444,7571.349974,7593.72006,7575.688809,7578.634288,7562.866308,7646.989416,7566.218453,7607.721787,7584.872335,7647.488189,7637.451397,7596.694771,7552.753076,7583.009019,7598.714496,7607.366134,7598.003088,7567.112684,7578.601152,7568.020161,7578.37707,7648.453258,7648.25393,7563.30565,7602.188187,7567.381029,7586.849072,7639.804448,7573.711785,7579.200617,7587.594012,7556.837409,7614.278675,7640.454237
12-Apr,1777.505266,1789.245385,1736.791549,1796.225275,1750.995735,1790.78347,1717.789317,1769.795865,1811.415034,1779.779503,1786.559128,1732.443868,1757.04015,1807.672352,1766.981556,1776.193192,1786.341326,1716.369398,1739.046554,1722.991439,1762.273186,1807.271906,1790.753681,1734.665848,1784.753251,1807.483701,1810.553723,1811.33849,1782.124638,1726.651617,1748.15779,1771.117489,1746.805169,1760.204409,1792.906231,1723.811567,1870.291105,1756.100781,1726.863746,1737.016151,1799.157914,1787.67851,1809.100783,1808.0551,1730.778884,1804.328081,1716.738011,1750.062123,1742.804213,1774.082533,1739.232813,1755.002761,1734.466622,1841.386667,1812.640516,1912.327754,1783.046153,1720.354858,1810.593153,1829.293373,1727.278916,1778.763083,1780.711255,1716.366202,1810.65801,1768.250054,1754.09923,1752.192505,1754.149411,1798.412221,1755.772869,1783.037344,1832.576393,1757.301072,1778.511255,1783.23735,1760.557645,1774.128248,1713.633476,1737.241759,1754.218907,1754.60214,1802.96692,1721.69399,1811.394052,1808.246435,1743.633102,1745.934321,1786.43797,1720.286239,1728.734456,1722.009243,1772.061236,1803.578149,1780.633771,1777.76525,1767.33118,1742.239163,1779.448387,1759.178162
13-Apr,9438.812877,9439.481115,9500.206055,9495.985563,9450.585294,9470.423015,9515.54338,9449.749217,9470.88733,9451.31205,9494.912373,9452.382024,9459.423318,9434.079079,9524.894882,9456.458468,9463.170181,9488.12083,9434.217139,9448.865758,9526.781703,9487.773963,9456.425065,9460.214301,9500.985189,9460.174705,9434.223766,9487.7506,9444.682714,9437.46999,9432.888924,9427.884886,9524.796398,9520.1059,9500.609244,9526.636539,9453.323786,9481.758422,9491.36021,9501.628996,9518.435847,9430.075491,9457.997093,9432.264405,9468.677277,9428.350592,9493.221425,9434.518576,9513.029004,9441.327623,9429.900851,9438.935949,9502.187425,9473.424586,9627.321585,9446.340619,9487.504918,9484.184797,9438.294508,9454.298959,9512.172799,9483.547736,9523.246865,9477.012882,9532.746949,9439.888328,9594.128467,9429.167339,9449.934864,9468.86113,9473.606391,9487.217167,9468.049994,9509.315866,9516.998726,9520.718674,9449.377968,9482.193066,9432.605147,9504.415354,9486.427354,9528.701293,9522.141531,9478.391636,9499.452701,9437.339154,9434.307019,9470.27252,9446.629121,9437.45336,9436.599789,9435.788308,9474.849483,9526.832593,9494.369424,9460.479654,9450.478562,9505.082315,9431.712304,9523.588686
14-Apr,6812.651132,6830.503206,6831.795849,6783.388105,6840.392205,6824.984753,6861.013714,6814.351604,6808.214303,6792.411716,6791.767874,6868.826557,6787.488914,6791.202722,6803.405372,6774.974813,6856.503124,6824.270185,6872.862727,6836.700927,6776.102314,6781.328299,6785.440639,6791.646584,6821.804623,6855.560153,6818.572797,6839.826369,6844.922229,6828.636947,6773.725585,6860.053646,6867.33632,6817.271221,6855.316452,6855.238073,6820.006898,6802.467974,6773.131186,6830.727563,6859.931252,6789.566865,6785.086326,6908.596284,6811.31341,6794.096768,6847.392178,6831.038318,6852.680225,6799.102215,6863.356336,6799.937402,6782.429171,6772.799111,6811.246735,6786.083089,6829.270656,6820.646439,6787.467548,6788.496337,6804.88026,6852.624269,6846.761954,6864.661304,6825.923299,6817.161471,6908.229015,6820.569353,6800.903468,6774.386726,6804.582152,6855.950937,6774.804946,6931.027268,6805.677381,6850.851799,6793.43704,6787.811617,6908.335295,6774.637403,6796.044215,6918.29841,6897.305914,6870.952842,6844.922841,6774.847468,6807.348723,6814.256098,6793.956816,6786.410409,6922.418095,6801.135243,6804.001907,6811.457225,6815.76095,6815.658612,6789.112155,6835.622867,6850.418495,6824.551864
15-Apr,4686.53015,4738.560058,4702.154711,4726.195033,4738.580098,4740.350538,4740.496972,4712.50255,4830.541212,4710.432246,4718.569503,4769.239794,4806.366515,4729.611634,4757.180404,4745.603522,4682.712668,4764.924581,4710.918584,4757.081829,4756.261939,4726.609517,4697.255372,4751.95759,4777.983671,4722.236239,4689.217065,4705.153158,4728.133769,4722.056094,4744.753192,4683.240885,4718.816957,4691.860687,4687.070071,4775.276314,4744.993202,4776.394847,4720.778019,4706.361222,4756.900101,4697.700636,4744.827834,4739.575604,4773.405348,4755.352114,4768.127644,4741.422502,4771.923906,4733.13442,4745.959868,4768.47361,4705.136942,4749.724893,4879.214322,4778.772838,4689.721552,4689.084278,4764.020394,4767.063316,4777.931028,4704.755162,4699.518521,4736.736596,4826.522201,4727.96077,4716.503779,4760.065757,4692.790163,4755.398139,4708.056629,4697.155074,4752.319194,4683.506602,4704.794344,4764.125015,4687.103008,4735.127218,4766.2999,4718.32758,4689.068235,4727.034157,4748.959703,4766.45801,4696.976816,4745.791812,4720.035503,4695.117023,4685.781599,4768.354759,4724.657525,4698.968342,4752.534282,4727.892386,4699.0476,4786.154837,4758.037097,4714.641367,4780.121755,4714.752426
16-Apr,6084.677999,6086.802586,6027.896269,6096.120213,6044.85391,6040.184051,6096.033977,6053.341255,6029.766863,6084.985491,6095.298419,6090.353312,6093.849728,6030.442623,6106.27061,6049.649815,6033.300856,6039.955927,6173.634467,6030.320281,6061.901483,6039.222931,6117.708355,6037.517629,6036.085136,6200.486271,6065.623791,6095.837254,6051.755414,6198.243202,6062.771379,6106.132628,6039.49901,6124.542454,6049.369619,6042.415206,6035.466225,6079.105478,6130.182098,6147.673001,6193.430203,6114.43954,6064.724358,6055.683727,6083.49673,6045.107335,6069.003252,6064.790521,6039.837116,6029.457169,6092.450511,6038.75126,6090.472146,6065.423534,6053.020783,6064.212062,6102.44235,6086.522755,6110.611053,6050.840779,6054.446597,6045.435892,6081.762377,6048.917455,6120.478065,6109.038428,6066.281359,6061.727123,6039.379822,6032.436509,6099.956136,6053.812464,6108.411428,6115.188043,6077.782848,6112.223339,6124.847282,6025.877267,6119.984224,6048.704806,6121.91532,6117.083185,6107.106116,6113.6287,6091.239359,6090.483304,6064.486524,6083.226325,6067.248505,6083.059923,6045.469852,6096.634757,6122.49587,6060.052671,6104.611263,6074.444002,6167.125596,6044.639077,6166.874662,6206.709319
17-Apr,9898.945538,9924.915823,9881.350951,9951.514912,9931.559297,9926.040221,9913.321595,9853.103887,9920.225342,9903.273886,9913.896855,9836.047012,9919.155714,9912.082172,9876.040637,9847.948677,9922.312411,9869.978978,9903.866479,9924.813625,10000.51754,9852.217832,9996.043772,9885.111525,9931.922037,9900.300221,9920.742492,9857.060709,9906.387259,9912.752516,9879.777776,9845.434729,9977.596834,9856.569596,9862.27215,9921.039877,9854.791482,9924.280527,9904.813104,9849.334119,9916.018982,9852.549576,9852.104615,9862.796318,9874.597144,9899.301674,9836.425552,9871.009395,9892.655437,9868.685941,9917.680397,9882.368252,9883.068633,9924.788873,9861.937262,9891.005108,9892.730367,9836.508713,9840.567367,9842.333734,9836.433244,10015.52978,9882.153261,9925.01267,9869.878973,10008.90049,9942.73748,9885.547519,9856.736303,9899.111871,9902.408478,9927.351733,9877.803766,9875.849869,9969.952171,9844.80976,9856.395964,9858.69245,9897.96905,9843.075305,9889.871779,9851.889447,9883.75666,9930.57599,9842.561753,9929.699775,9879.682949,9911.134675,9877.876347,9922.546311,9931.840195,9889.997777,9999.89619,9839.038803,9862.757373,9894.529488,9836.606009,9906.117519,9888.800785,9902.185773
18-Apr,1170.793632,1244.955619,1178.662,1173.620533,1189.147329,1176.302792,1214.827072,1295.126588,1191.099159,1260.623615,1239.958361,1220.872649,1236.497713,1228.910622,1269.045347,1253.325741,1228.657829,1307.182061,1180.295457,1233.814357,1178.006694,1231.525352,1170.358854,1265.712636,1192.711767,1231.001998,1201.138227,1196.636078,1189.851866,1259.412293,1215.422397,1187.773031,1194.846741,1243.742421,1189.941365,1249.835731,1263.297504,1212.754083,1175.211708,1185.376357,1223.614249,1197.51767,1175.659525,1221.829411,1261.118412,1269.61638,1196.016414,1253.279958,1198.878165,1254.670929,1216.543774,1176.781595,1174.160954,1233.382175,1233.957073,1181.229324,1267.515567,1192.43753,1229.83525,1195.666967,1222.196834,1198.355226,1218.044822,1236.388621,1223.566537,1181.34369,1210.387626,1219.747815,1245.883363,1227.839551,1219.904031,1261.178068,1176.833507,1230.607084,1224.464141,1235.468822,1201.933391,1196.483961,1192.462123,1205.419974,1190.870788,1184.265224,1181.420417,1233.162025,1255.202545,1217.280842,1222.050428,1185.649499,1369.662345,1223.560369,1247.253723,1258.276375,1247.354403,1221.295174,1239.333286,1210.526471,1212.113777,1259.971561,1249.342629,1172.977317
19-Apr,3313.886768,3342.080868,3263.227416,3343.05806,3328.421746,3340.78209,3313.81381,3272.280525,3284.257334,3274.613029,3304.234519,3302.893583,3275.741522,3410.950828,3298.21684,3275.00673,3348.517169,3309.472344,3301.547412,3345.949766,3287.517624,3354.410154,3285.145144,3312.940747,3333.138435,3276.1547,3272.784952,3339.285883,3329.523999,3302.062905,3410.107925,3280.245181,3404.856002,3285.971312,3268.273298,3387.762883,3287.273784,3298.00986,3359.79483,3303.215906,3266.436567,3278.539459,3351.597522,3279.952014,3340.622631,3348.206668,3306.416948,3297.772509,3282.145866,3304.548681,3341.298827,3278.114021,3351.328757,3313.147102,3281.157383,3355.974257,3346.775675,3347.180977,3346.593818,3274.421072,3310.007711,3354.215438,3311.701992,3332.095752,3337.451368,3272.963641,3314.854991,3291.900444,3316.593661,3278.509833,3334.978554,3320.367528,3318.183961,3292.138664,3331.271622,3283.127682,3331.561977,3353.977942,3320.126523,3358.74201,3264.147137,3311.799999,3339.986129,3264.648413,3348.544355,3331.962952,3335.967895,3328.169641,3347.851217,3313.703734,3287.404612,3322.626609,3311.14944,3331.824735,3307.745986,3288.756461,3287.73928,3272.745114,3261.705989,3355.512284
20-Apr,5405.955053,5399.330318,5390.069784,5339.762322,5342.898409,5389.232375,5346.236461,5400.015853,5328.573979,5380.929986,5319.538374,5414.0083,5360.572004,5326.277806,5323.213423,5390.854323,5324.028731,5323.471543,5372.773603,5326.245093,5376.927549,5388.465396,5334.211964,5358.964465,5401.568414,5362.870186,5357.631699,5406.385513,5335.602338,5469.783649,5377.455951,5417.540399,5334.9009,5411.199444,5370.57233,5398.442769,5366.592209,5359.176291,5362.422026,5388.925477,5467.045838,5378.925886,5327.750177,5333.062186,5327.763213,5356.403121,5346.765935,5391.594754,5396.298612,5323.053296,5345.683241,5382.493802,5329.57928,5329.769292,5371.627676,5389.343283,5400.396855,5356.493335,5398.75158,5412.537744,5404.633756,5699.255457,5382.625714,5337.766783,5408.240845,5407.346048,5377.001469,5457.526954,5374.205907,5381.266909,5358.896471,5320.153082,5391.939377,5338.96754,5329.996093,5374.872924,5369.286448,5393.409331,5358.677828,5408.803064,5329.257617,5349.019924,5404.530171,5399.205414,5417.263855,5350.462663,5417.337019,5382.993801,5360.79326,5324.667663,5355.671044,5366.928514,5459.902469,5374.449679,5354.307187,5363.800589,5332.183258,5337.206615,5337.073465,5410.51388
21-Apr,2385.185457,2360.622995,2378.077315,2341.230973,2366.035167,2362.466345,2397.414502,2331.958869,2362.338215,2370.777208,2351.538124,2388.939825,2346.34981,2406.671159,2326.007472,2413.705601,2401.204911,2348.030073,2406.680476,2380.74445,2364.01051,2399.526273,2412.735851,2380.042282,2350.651335,2472.851002,2352.40701,2372.760675,2373.357148,2399.048423,2325.915798,2380.553232,2322.945567,2403.874361,2420.51405,2316.173349,2477.996295,2334.827687,2314.56574,2387.237868,2372.288825,2409.379897,2323.983383,2386.915725,2440.058053,2320.870646,2384.16075,2327.297445,2404.780958,2458.655142,2402.66966,2355.478195,2316.473434,2337.262376,2328.311838,2373.978484,2414.005536,2332.592657,2354.156621,2417.481063,2332.357429,2406.695219,2410.668494,2432.738739,2348.241581,2379.929129,2327.571885,2335.46905,2346.380491,2433.94914,2390.289131,2329.856689,2389.58279,2411.326627,2369.217413,2326.960224,2412.734198,2321.803501,2342.779758,2394.909271,2316.093472,2412.06611,2349.235087,2324.083054,2376.181519,2322.852365,2319.719949,2359.472585,2337.821498,2340.675586,2403.264054,2322.940463,2410.173798,2346.496851,2366.489686,2323.310304,2494.368891,2372.837668,2448.117438,2327.68275
22-Apr,5386.073422,5389.353643,5419.665656,5387.574215,5382.363856,5417.77559,5370.726666,5430.927031,5432.983332,5434.824094,5403.523692,5373.451273,5353.443289,5350.011446,5392.952669,5401.889568,5357.643834,5344.660196,5362.583316,5336.721765,5398.377178,5395.269494,5397.517517,5406.526983,5407.385013,5409.317029,5389.210145,5344.328431,5401.755494,5384.178316,5371.710284,5381.682561,5426.560823,5374.106911,5371.290841,5365.175405,5345.85968,5474.759947,5495.32209,5381.543619,5361.52677,5366.776657,5345.57142,5348.54949,5377.726786,5405.526664,5368.154038,5380.099572,5363.145338,5522.547668,5410.603488,5350.988467,5407.860714,5417.046065,5396.693496,5417.298931,5355.555678,5393.33818,5399.718052,5508.235842,5402.881202,5345.393722,5420.77492,5435.240995,5357.55737,5346.357322,5381.294739,5389.782478,5358.572073,5340.067762,5371.914227,5358.467567,5420.482443,5408.471436,5436.10954,5354.819388,5433.448716,5387.928278,5389.254031,5368.581,5340.216474,5435.876299,5341.300554,5430.445889,5337.655456,5413.261876,5402.862494,5430.99904,5411.99706,5421.653708,5398.609582,5427.968551,5381.36848,5357.817187,5378.420003,5418.635303,5349.086731,5422.567145,5376.343326,5469.460983
23-Apr,4468.513964,4434.671517,4452.410581,4469.446126,4496.950358,4498.74107,4469.597116,4518.790171,4485.268329,4472.346254,4442.347642,4517.002119,4595.439628,4444.937687,4478.034759,4488.953267,4491.893305,4525.03125,4451.920913,4467.83191,4498.717416,4475.206064,4431.117984,4497.023366,4498.953965,4440.72555,4418.956414,4491.594703,4492.270267,4442.225875,4413.158474,4484.099791,4429.548441,4444.897536,4555.418788,4413.772623,4452.184672,4472.08568,4420.746885,4412.270144,4478.635366,4411.789545,4453.157486,4467.056464,4718.422043,4449.514416,4489.586734,4457.324386,4484.533117,4431.154419,4437.733977,4479.215185,4486.242664,4430.010128,4450.207697,4453.954266,4486.499501,4465.169758,4454.882777,4424.481017,4455.86364,4457.35077,4498.262367,4467.744719,4434.928831,4412.099259,4411.737494,4444.726474,4451.256246,4470.347619,4493.819911,4493.760566,4533.675561,4476.137721,4445.868859,4472.769625,4474.770886,4470.937769,4462.402937,4475.028132,4591.216966,4449.259258,4409.269332,4534.235281,4407.383816,4478.477161,4473.872671,4520.585694,4476.151911,4411.621734,4440.58995,4489.12882,4435.923926,4419.832322,4426.389557,4456.088425,4420.251832,4435.353984,4419.382299,4463.237135
24-Apr,1549.165006,1577.792427,1597.588188,1618.55895,1562.761047,1664.874376,1529.850513,1605.947171,1562.513264,1596.966022,1603.190069,1604.237146,1616.076796,1539.697097,1566.824442,1616.483789,1525.86302,1611.341726,1606.595093,1622.285318,1604.478096,1593.878514,1593.478121,1531.944595,1527.706393,1556.248641,1544.427441,1589.728834,1547.97093,1599.925951,1587.968307,1563.273946,1580.953035,1565.032927,1580.401047,1615.570345,1601.003951,1618.413124,1617.724887,1571.492631,1564.868379,1533.735858,1525.923936,1533.268243,1563.319826,1563.906562,1594.474272,1561.826714,1566.457525,1598.168921,1583.320968,1592.354858,1565.526217,1574.408336,1553.390975,1530.749141,1599.536895,1548.921061,1524.466678,1564.766765,1612.022346,1564.071314,1587.686261,1537.030037,1606.106372,1630.730569,1526.258465,1618.207663,1541.695067,1594.237896,1558.955913,1570.397613,1535.466797,1556.457145,1558.128591,1544.380668,1591.645144,1604.364484,1566.35014,1585.589572,1599.335955,1608.111182,1620.953812,1613.411485,1593.439929,1616.187028,1605.377039,1595.266303,1590.359412,1528.078952,1587.823281,1623.06976,1563.474712,1610.937941,1593.388944,1526.974464,1595.250437,1532.635249,1590.535863,1563.69246
